Grid,Name,Sector,Affiliation,Suns,Moons,Population,Climate,Terrain
L-9,Nara,,,,,,,
L-9,Neuvia,,,,,,,
L-9,Opatajji Alsaka,,,,,,,
L-9,Perilix,,,,,,,Ocean
L-9,Perlemia,,Galactic Republic,,,,,
L-9,Plavin,,,,,,,
L-9,Quian,,Galactic Empire,,,,,
L-9,Rekkana,,Galactic Empire Visler Korda's faction New Republic,2,1,,,Rocky
L-9,Rine-cathe,,,,,,,
L-9,Rubogea,,,,,,,
L-9,Salgarus,,,,,,,
S-9,Shawken,,Galactic Republic Galactic Empire Alliance of Free Planets,,,,,
L-9,Sittana,,,,,,,
L-9,Skako,,Galactic Republic Confederacy of Independent Systems Galactic Empire,,,,,
L-9,Tarlandia,,,,,,,
L-9,Tentator,,Galactic Republic,,,,,
L-9,TerraAsta,,,,,,,
L-9,Thokos,,Galactic Republic,,,,,
P-10,Thorgeld,,,,,,,
L-9,Tolan,,Galactic Empire,,,,,
L-9,Tristall,,,,,,,
L-9,Utrost Corusca (Coruscant),,,,,,,
L-9,Uviuy Exen Shwuy,,,,,,,
L-9,Vardos,,Galactic Empire First Order,,,,,Mountains Oceans Urban
L-9,Velusia,,New Republic,,,,,
L-9,Vento,,,,,,,
L-9,Wakeelmui,,Galactic Republic Galactic Empire,,,,,Forests
L-9,Yerphonia,,,,,,,
L-9,Bormea,Bormea,,,,,,
L-9,Brentaal,Bormea,,,,,,
L-9,Chandrila,Bormea,,,,,,
L-9,Corulag,Bormea,,,,,,
L-9,Galitan,Bormea,,,,,,
L-9,Ganthel,Bormea,,,,,,
L-9,Kebro,Bormea,,,,,,
L-9,Nadiri,Bormea,,,,,,
L-9,Nopces,Bormea,,,,,,
L-9,Ringali Nebula,Bormea,,,,,,
L-9,Quenk,Corusca,,,,,,
L-9,Esseles,Darpa,,,,,,
O-14,Ralltiir,Darpa,,,,,,
L-9,Rhinnal,Darpa,,,,,,
L-9,Harloff,Minor,Galactic Empire,,,,Various,
K-10,Prakith,Minor,,,,,,
L-9,Witch,Nebula,,,,,,
L-9,Itapi,Prime,Galactic Empire,,,,,
L-9,Tepasi Tagge,Space,,,,,,
L-10,Aargau,,,,,,,
L-10,Adana,,,,,,,
L-10,Aloxl,,Jedi Order,1,,,Hot,
L-10,Bandonia,,,,,,,
L-10,Barbeen,,,,,,,
L-10,Besero,,,,,,,
L-10,Birsingrial,,,,,,,
L-10,Boruga,,Galactic Republic,,,,,
L-10,Broest,,,,,,,
L-10,Cambria,,,,,,,
L-10,Cardua,,,,,,,
L-10,Carlem,,,,,,,
L-10,Cerberon,,,,,,,
L-10,Coruscul,,,,,,,
L-10,Darellia,,,,,,,
L-10,Eremond,,,,,,,
L-10,Foerost,,,,,,,
L-10,Galdronia,,,,,,,
L-10,Ginn Jump,,,,,,,
L-10,Had Abbadon,,Darth Krayt's Galactic Empire,1,,,,Dry fields
L-10,Heliconia,,,,,,,
L-10,Iope,,,,,,,"Rocky, canyons"
L-10,Ixtlar Ixtlar,,,,,,,
L-10,Jerrilek,,Galactic Empire,,Two,"12 million Humans, 5.1 million Ithorians",Warm temperate to tropical,Tropical islands Mountains Forests
L-10,Jonsior,,,,,,,
L-10,Kaikielius,,,,,,,
L-10,Kailor,,,,,,,
L-10,Korfanus,,,,,,,
L-10,Malpassia,,,,,,,
L-10,Nacon,,,,,,,
L-10,Palawa,,Followers of Palawa Galactic Republic,,,,,
L-10,Peshara,,,,,,,
L-10,Spira Lytton,,,,,,,
L-10,Stassia,,Galactic Empire,,,1.3 billion,Temperate,Plains
L-10,Tython,,Jedi Order,1,At least 2 Ashla,Uninhabited,,Forest Grasslands Mountains
L-10,Vulderania,,,,,,,
L-10,Vulpter,,,,,,,
L-10,Vultar,,,,,,,
L-10,Wukkar,,,,,,,
L-10,Xorth,,Galactic Republic Galactic Empire,,,,,
L-10,Yulant,,Galactic Republic Galactic Empire,,,,,Fields
L-10,Empress Teta,Koros,,,,,,
L-10,Starswarm Cluster,Koros,,,,,,
L-10,Goluud,Minor,,,,,,
L-10,Goluud,Prime,,,,,,
L-11,Kampe,,Sander Delvardus United Warlord Fleets,1,,,Arid,Deserts Rocks Canyons
L-11,Tsoss Beacon,,,,,,,
L-12,Azbrian,,,,,,,"Grassy plains, hills"
L-12,Baffia,,,,,,,
L-12,Balosar,,BioTech Industries Fergriss Pharmaceuticals Galactic Empire,,,,,Factories
L-12,Cioran,,Galactic Empire,,,,,
L-12,Crystan,,,,,,,
L-12,Dybrin,,,,,,,
L-12,Enselon,,,,,,,
L-12,Fex,,Kelen Biolabs,,,,,"Crystal caves Rocky, crystallized mountains"
L-12,Forntay,,,,,,,
L-12,Gama,,Galactic Empire,,,,,
L-12,Ivera,,,,,,,
L-12,Khomm,,,,,,,Oceans
L-12,Koler,,,,,,,
L-12,Lansono,,Galactic Republic,,,,,
L-12,Ledalau,,,,3,,,Oceans
L-12,Lujo,,,,,,,
L-12,Mestare,,Jedi Order,,,,,
L-12,Noult,,,,,,,
L-12,Numatra,,,,,,,
L-12,Oligtaz,,,,,,,
L-12,Pkihantri,,,,,,,
L-12,Rubinero,,,,,,,
L-12,Shulxi,,,,,,,
L-12,Sleedara,,,,,,,
L-12,Soule,,,,,,,
L-12,Thomork,,Galactic Empire,,,Over 450,,
L-12,Yanis,,,,,,,
L-12,Diatia,Major,,,,,,
L-13,Achillea,,House Cadriaan,,,474 million,Hot,Jungles Plains Plateaus
L-13,Aleron,,League of Tapani Freeworlds,,,1.2 billion,Temperate,Mountains Plains
L-13,Alisandor,,,,,,,
L-13,Allandor,,,,,,,
L-13,Andara,,Galactic Empire New Republic,,,,,
S-14,Barnaba,,House Barnaba,,,650 million,Temperate,Mountains Plains Valleys
L-13,Bassadro,,Galactic Republic Confederacy of Independent Systems,,,,,
M-12,Bethal,,House Pelagia Tapani Empire Tapani Federation Galactic Republic Galactic Empire,,,,,Forests
L-13,Betolio,,Tapani Noble Houses Pelagia Province Calipsa Province,,,,,
L-13,Bianas,,,,,,,
L-13,Bilios,,House Melantha Justice Action Network,,,,,
L-13,Bith,,,,,,,
L-13,Bleuf,,Galactic Empire,,,,,
L-13,Blyte,,,,,,,
L-13,Calipsa,,House Calipsa,,,1.9 billion,Temperate,Hills Plains
L-13,Caloria,,,,,,,
L-13,Camblia,,,,,,,
L-13,Canti,,,,,,,
L-13,Cauper,,,,,,,
M-7,Cesya,,,,,,,
L-13,Cilpar,,Galactic Empire New Republic,,,,,Mountains Jungles Forests
L-13,Coorimbus,,,,,,,
L-13,Cor I,,,,,,,
L-13,Cor II,,,,,,,
L-13,Cor III,,,,,,,
L-13,Crella,,,,,,,
L-13,Dampher,,,,,,,
L-13,Degarian,,,,,,,
L-13,Diamal,,,,,,,
L-13,Don I,,,,,,,
L-13,Don II,,,,,,,
L-13,Dorella,,Galactic Republic Tapani Empire Galactic Empire New Republic,,,,,"Plains, Urban"
L-13,Dorellia,,,,,,,
L-13,Doris,,,,,,,
L-13,Drophun,,,,,,,
L-13,Eamus,,,At least one,,,,
L-13,Enaleh,,Galactic Republic,,,,,Grasslands
L-13,Estaph,,,,,,,
L-13,Ferrhast,,Galactic Empire,,,,,
L-13,Floubette,,,,,,,
L-13,Fondor,,Galactic Empire,,At least 1,,,
L-13,Frego,,Galactic Republic The Cobral Galactic Empire,,,,,Urban
L-13,Gania,,,,,,,
L-13,Garobi,,,,,,,
L-13,Gilliana,,House Cadriaan Tapani Empire Tapani Federation Galactic Republic Galactic Empire New Republic,,,,,
L-13,Gontzol,,,,,,,
L-13,Grella,,,,,,,
L-13,Hanofar,,Galactic Empire,,,,,
L-13,Hellios,,House Barnaba,,,,,
L-13,Iphigin,,New Republic,1,,,Temperate,
L-13,Isht,,Galactic Empire New Republic,,,,,
L-13,Jappe,,,,,,,
L-13,Javis,,House Mecetti Tapani Empire Tapani Federation Galactic Empire,,,,,Plains Forests Mountains Industrial
L-13,Jinda,,,,,,,
L-13,Kamper,,,,,,,
L-13,Kintarr,,,,,,,
L-13,Laakteen Depot,,Pirates Alliance to Restore the Republic,,,,,
L-13,Lali,,,,,,,
L-13,Laman,,,,,,,
L-13,Lamuir,,League of Tapani Freeworlds,,1,4.5 million: 2.5 million Herglics 2 million Humans,Temperate,Forests Mountains Plains
L-13,Lastelle,,,,,,,
L-13,Lasten,,,,,,,
L-13,Letev,,,,,,,
L-13,Listoria,,,,,,,
L-13,Lorenz,,,,,,,
L-13,Lupani,,,,,,,
L-13,Lusk,,,,,,,
L-13,Lynx,,,,,,,
L-13,Mrlsst,,,,,,,
L-13,Naator,,Galactic Empire,,,,,Icy mountains
L-13,Namore,,,,,,,
L-13,Nella,,,,,,,
L-13,Neona,,League of Tapani Freeworlds,,Two,4 million,Temperate,Oceans Glaciers
L-13,Netolio,,,,,,,
L-13,New Javis,,,,,,,
L-13,New Shella,,,,,,,
L-13,Nista,,House Cadriaan Tapani Empire Tapani Federation Galactic Republic Galactic Empire Alliance to Restore the Republic New Republic,,,,,Volcanic
L-13,Nunce,,,,,,,
L-13,Nyssa,,House Mecetti Tapani Federation Sith Empire (Great Sith War) Galactic Republic Mecrosa Order Galactic Empire New Republic,,,,,
L-13,Obelia,,Tapani Federation House Pelagia,,,,,
L-13,Obulette,,House Mecetti,1,,9.2 billion,Cool,Hills Plains Urbanized areas
L-13,Obumubo,,Galactic Empire Obumubo Imperial garrison,,,,Cold,Sea of liquid metal
L-13,Oreenda Fayett,,Galactic Empire,,,,,
L-13,Pavia,,House Cadriaan Tapani Federation Galactic Republic Galactic Empire New Republic,,,,,
L-13,Pelagon,,House Pelagia,,,27 million,Temperate,Ocean
L-13,Pella,,House Mecetti Tapani Empire Tapani Federation,,Nightsinger's Orb,8 Million,,Plains Mountains Forests
L-13,Pernella,,Galactic Republic Tapani Empire League of Tapani Freeworlds Galactic Empire New Republic,,,,,
L-13,Pervi,,,,,,,
L-13,Plexis,,Zenowai Crime Society,,,,,
L-13,Port Bianco,,,,,,,
L-13,Pozzi,,,,,,,
L-13,Procopia,,,,,,,
L-13,Purcassia,,,,,,,
L-13,Reena,,,A sun,,,,
L-13,Rellio,,,,,,,
L-13,Reyna,,Galactic Empire,,,,,
L-13,Rianon,,,,,,,
L-13,Ricaldi,,,,,,,
L-13,Riesa,,Galactic Empire,,,,,
L-13,Rimma,,Galactic Empire,,,,,
L-13,Rurgavea,,,,,,,
L-13,Scarl,,Galactic Empire New Republic,,,,,
L-13,Sefon,,,,,,,
L-13,Setolio,,,,,,,
L-13,Shella,,,,,,,
L-13,Sheva,,Galactic Republic Tapani Empire League of Tapani Freeworlds Galactic Empire,,1,,,
L-13,Shifa,,,,,,,
L-13,Shindra,,,,,,,
L-13,Shopani,,,,,,,
L-13,Simra,,,,,,,
L-13,Sorella,,Galactic Republic Galactic Empire New Republic,,,,,
L-13,Soterios,,House Melantha,1,,6.7 billion,Arid,Deserts Canyons
L-13,Sparingia,,,,,,,
L-13,Tallaan,,League of Tapani Freeworlds,,,67 billion,Temperate,Forest Plains Urban
L-13,Tamber,,,,,,,
L-13,Tanda,,(s) Hutt Cartel,,,,,
L-13,Tanger,,,,,,,
L-13,Tanya,,,,,,,
L-13,Tanzis,,,,,,,
L-13,Tavitz,,,,,,,
L-13,Tavya,,,,,,,
L-13,Teyr,,,,,,,
L-13,Tiisheraan,,,,,,,
L-13,Tillo,,,,,,,
L-13,Tocco,,,,,,,
L-13,Toorja,,,,,,,
L-13,Transel,,Galactic Republic,,,,,
L-13,Treylon,,,,,,,
L-13,Tumus,,,,,,,
L-13,Valera,,,,,,,
L-13,Vindalia,,,,,500 million to 1 billion (c. 25 ABY ),,
L-13,Vulvarch,,,,,,,
L-13,Vycinyth,,House Barnaba,,Vilhon,"750,000 permanent residents, millions of tourists",Moderate,Forests Hills Mountains Oceans
L-13,Weldii,,,,,,,
L-13,Albrae-Don,Sern,,,,,,
L-13,Claer,Sern,,,,,,
L-13,Ghorman,Sern,,,,,,
L-13,Nea Dajanam,Sern,,,,,,
L-13,Sern Prime,Sern,,,,,,
L-13,Giju Herglic,Space,,,,,,
L-14,Alion,,,,,,,
L-14,Bernilla,,,,,,,
L-14,Caulbon,,Galactic Republic,,,,,
L-14,Dalastine,,Alliance to Restore the Republic,,Dalastine IV,,,
L-14,Denbar,,,,,,,
L-14,Deryvia,,,,,,,
L-14,Fimster,,,,,,,
L-14,Gmar Askilon Krenhner,,,,,,,
L-14,Graddus Rex,,,,,,,
L-14,Horain,,,,,,,
L-14,Iphar,,,,,,,
L-14,Janara,,,,,,,
L-14,Kedra,,,,,,,
L-14,Ketal,,,,,,,
L-14,Kiffex Kiffu,,,,,,,
L-14,Krenhner Krenhner,,,,,,,
L-14,Kuliquo,,,,,,,
L-14,Laertos,,Alliance to Restore the Republic,,,,,
L-14,Malsuum,,,,,,,Desert
L-14,Mantarran,,,,,,,
L-14,Mechis,,Techno Union,,,,,
L-14,Norah,,,,,,,
L-14,Oulanne,,Galactic Empire,,,,,
L-14,Patrolia,,,,,,,Aquatic
L-14,Penegelen,,,,,,,
L-14,Rashfond,,,,,,,
L-14,Renillis,,Galactic Empire,,,,,
L-14,Sewalia,,,,,,,
L-14,Simik,,,,,,,
L-14,Sukkult,,Confederacy of Independent Systems,,,,,
L-14,Tauber Jaso,,,,,,,
L-14,Teklos,,,,,,,
L-14,Terrelia,,,,,,,
L-14,Thyferra Jaso,,,,,,,
L-14,Tomo-Reth,,,,,,,
L-14,Vanik,,,,,,,
L-14,Vetine Merrick,,,,,,,
L-14,Yag'Dhul,,Confederacy of Independent Systems,,,,,
L-14,Amethia,Prime,,,,,,Oceans Volcanoes
L-15,Bivoli,,,,,,,
L-15,Calus,,,,,,,
L-15,Charissia Bartahn,,,,,,,
L-15,Dybbron Nythlide,,,,,,,
L-15,F'tzner Bartahn,,,,,,,
L-15,Harrin Harrin,,,,,,,
L-15,Keller's Void,,,,,,,
L-15,Moorja,,,,,,,
L-15,Qretu,,,Qretu,,,,
L-15,Rodaj,,,,,,,
L-15,Themis,,Galactic Republic,,1: Themis moon,,,
L-15,Ukatis,,,,,,,
L-15,Utor,,,,,,,
L-15,Wroona,,,,,,,
L-15,Yordain Core,,,,,,,
L-15,Pendarr,Alchenaut,,,,,,
L-15,Bodoria,Andirma,,,,,,
L-15,Hetnagaro,Andirma,,,,,,
L-15,Obas,Andirma,,,,,,
L-15,Quesaya,Andirma,,,,,,
L-15,Rushan,Andirma,,,,,,
L-15,Annamar,Bes Ber Bikade,,,,,,
L-15,Arquata Station,Bes Ber Bikade,,,,,,
L-15,Borkyne,Bes Ber Bikade,,,,,,
L-15,Cymoon,Bes Ber Bikade,,,,,,
L-15,Dura-Kahn,Bes Ber Bikade,,,,,,
L-15,Epica,Bes Ber Bikade,,,,,,
L-15,Gherillia,Bes Ber Bikade,,,,,,
L-15,Goa,Bes Ber Bikade,,,,,,
L-15,Halyard,Bes Ber Bikade,,,,,,
L-15,Kinyen,Bes Ber Bikade,,,,,,
L-15,KyLessia,Bes Ber Bikade,,,,,,
L-15,Lengil,Bes Ber Bikade,,,,,,
L-15,Lozash,Bes Ber Bikade,,,,,,
L-15,Megalox Beta,Bes Ber Bikade,,,,,,
L-15,Ooloponi,Bes Ber Bikade,,,,,,
L-15,Persis,Bes Ber Bikade,,,,,,
L-15,Roona,Bes Ber Bikade,,,,,,
L-15,Sibensko,Bes Ber Bikade,,,,,,
L-15,Troxar,Bes Ber Bikade,,,,,,
L-15,Validusia,Bes Ber Bikade,,,,,,
L-15,Fenves,Boeus,,,,,,
L-15,Mupin,Rocantor,,,,,,
L-15,Ord Vaug,Rocantor,,,,,,
L-15,Rainos Cluster,Rocantor,,,,,,
L-15,Rocantor,Rocantor,,,,,,
L-15,Rylorii Minor,Rocantor,,,,,,
L-15,Serria,Rocantor,,,,,,
L-15,Valron,Rocantor,,,,,,
L-15,Yabosta,Rocantor,,,,,,
L-15,Jindau,Station,,,,,,
L-19,Gom,Tregillis,,,,,,
L-15,Karatha,Tregillis,,,,,,
L-16,Qat Chrystac Parnabe,,,,,,,
L-16,Alchenaut,Alchenaut,,,,,,
L-16,Nkllon,Alchenaut,,,,,,
L-16,Rotoga,Alchenaut,,,,,,
L-16,Ternin,Alchenaut,,,,,,
L-16,Amorphiia,Eidoloni,,,,,,
L-16,Malenko,Eidoloni,,,,,,
L-16,Pirsen,Eidoloni,,,,,,
L-16,Polaar,Eidoloni,,,,,,
L-16,Wen'he'dinae,Eidoloni,,,,,,
L-16,Jarsatt,Hakartha,,,,,,
L-16,Ord Ivarn,Hakartha,,,,,,
L-16,Haurgab,Spirva,,,,,,
L-16,Krykas,Spirva,,,,,,
L-16,Maxilia,Vulcusion,,,,,,
L-16,Shurrupak,Vulcusion,,,,,,
L-16,Urajab,Vulcusion,,,,,,
L-16,Vulcusion,Vulcusion,,,,,,
L-17,Eiattu,Ado,,,,,,
L-17,Silvestri,Ado,,,,,,
L-17,Yankirk,Ado,,,,,,
L-17,Argul,D'Aelgoth,,,,,,
L-17,Mima,D'Aelgoth,,,,,,
L-17,New Cylimba,D'Aelgoth,,,,,,
L-17,Ogem,D'Aelgoth,,,,,,
L-17,Selenius,D'Aelgoth,,,,,,
L-17,Sinded,D'Aelgoth,,,,,,
L-17,Tarsa,D'Aelgoth,,,,,,
L-17,Tiferep Major,D'Aelgoth,,,,,,
L-17,Vandron,D'Aelgoth,,,,,,
L-17,Z-LOQ,D'Aelgoth,,,,,,
L-17,Echnos,Hadar,,,,,,
L-17,Grizal,Hadar,,,,,,
L-17,Gundravia,Hadar,,,,,,
L-17,Parada,Hadar,,,,,,
L-17,Rindao,Hadar,,,,,,
L-17,Yagara,Hadar,,,,,,
L-17,Anstares,Juvex,,,,,,
L-17,Carsanza,Juvex,,,,,,
L-17,Deminol,Juvex,,,,,,
L-17,Dioll,Juvex,,,,,,
L-17,Kardura,Juvex,,,,,,
L-17,Kassido,Juvex,,,,,,
L-17,Malador,Juvex,,,,,,
L-17,Ossiathora,Juvex,,,,,,
L-17,Thermon,Juvex,,,,,,
L-17,Valorsi,Juvex,,,,,,
L-17,Yhifar,Juvex,,,,,,
L-17,Zaria,Juvex,,,,,,
L-17,Zyluria,Juvex,,,,,,
L-17,Joralla,Mektrun,,,,,,
L-17,Maro Della,Mektrun,,,,,,
L-17,Mektrun Cluster,Mektrun,,,,,,
L-17,Sarina,Mektrun,,,,,,
L-17,Veron Minor,Mektrun,,,,,,
L-17,Adoris,Senex,,,,,,
L-17,Aquella,Senex,,,,,,
L-17,Asmeru,Senex,,,,,,
L-17,Caltinia,Senex,,,,,,
L-17,Crovna,Senex,,,,,,
L-17,Cyimarra,Senex,,,,,,
L-17,Hutlar,Senex,,,,,,
L-17,Knores,Senex,,,,,,
L-17,Manforgon,Senex,,,,,,
L-17,Mussubir,Senex,,,,,,
L-17,Nantama,Senex,,,,,,
L-17,Nars,Senex,,,,,,
L-17,Neelanon,Senex,,,,,,
L-17,Nepoy,Senex,,,,,,
L-17,Paramatan,Senex,,,,,,
L-17,Presteen,Senex,,,,,,
L-17,Rulaar,Senex,,,,,,
L-17,Senex,Senex,,,,,,
L-17,Skartis,Senex,,,,,,
L-17,Thull's Shroud,Senex,,,,,,
L-17,Veron,Senex,,,,,,
L-17,Cyphar,Spirva,,,,,,
L-17,Derricon,Spirva,,,,,,
L-17,Lenthalis,Spirva,,,,,,
L-17,Naalol,Spirva,,,,,,
L-17,Snugano,Spirva,,,,,,
L-18,Belsavis,Bozhnee,,,,,,
L-18,Brodogon,Bozhnee,,,,,,
L-18,Garnib,Bozhnee,,,,,,
L-18,Greeb-Streebling Cluster,Bozhnee,,,,,,
L-18,Jankok,Bozhnee,,,,,,
L-18,Jereth,Bozhnee,,,,,,
L-18,"Noopiths, The",Bozhnee,,,,,,
L-18,Ossel,Bozhnee,,,,,,
L-18,Sibilaar,Bozhnee,,,,,,
L-18,Tibrin,Hadar,,,,,,
L-18,Farfeld,Jjannex,,,,,,
L-18,Hiffis,Jjannex,,,,,,
L-18,Melasaton,Jjannex,,,,,,
L-18,Sellasas,Jjannex,,,,,,
L-18,Vavarna,Jjannex,,,,,,
L-18,Dramassia,Juvex,,,,,,
L-18,Juvex,Juvex,,,,,,
L-18,K'ath,Juvex,,,,,,
L-18,Kimm Aurek,Juvex,,,,,,
L-18,Kimm Besh,Juvex,,,,,,
L-18,Kimm Cresh,Juvex,,,,,,
O-9,Loovria,Juvex,,,,,,
L-18,Pieldi,Juvex,,,,,,
L-18,Pirralor,Juvex,,,,,,
L-18,Q'mara,Juvex,,,,,,
L-18,Resti Kel,Juvex,,,,,,
L-18,Talhovi,Juvex,,,,,,
L-18,Tinallis,Juvex,,,,,,
L-18,Tyluun,Juvex,,,,,,
L-18,Velga,Juvex,,,,,,
L-16,Vulcar,Juvex,,,,,,
L-18,Angratha,Senex,,,,,,
L-18,Antiquity,Senex,,,,,,
L-18,Anturus,Senex,,,,,,
L-18,Atron,Senex,,,,,,
L-18,Bator Bai,Senex,,,,,,
L-18,Boro-borosa,Senex,,,,,,
L-18,Denebia,Senex,,,,,,
L-18,Doreen,Senex,,,,,,
L-18,Fengrine,Senex,,,,,,
L-18,Hestria,Senex,,,,,,
L-18,Hovan,Senex,,,,,,
L-18,Jalarren,Senex,,,,,,
L-18,Kalgo,Senex,,,,,,
L-18,Kamur,Senex,,,,,,
L-18,Karfeddion,Senex,,,,,,
L-18,Kedorzha,Senex,,,,,,
L-18,Osmani,Senex,,,,,,
L-18,Port Evokk,Senex,,,,,,
P-11,Serat,Senex,,,,,,
L-18,Shoon,Senex,,,,,,
L-18,Simoom,Senex,,,,,,
L-18,Suliana,Senex,,,,,,
L-18,Tekurr'k,Senex,,,,,,
L-18,Tranthellix,Senex,,,,,,
L-18,Usnia,Senex,,,,,,
L-18,Varadan,Senex,,,,,,
L-18,Voorsbain,Senex,,,,,,
L-18,Yetoom,Senex,,,,,,
L-18,Drong,Steniplis,,,,,,
L-18,Kelrodo-Ai,Steniplis,,,,,,
L-18,Dolla,Videnda,,,,,,
L-18,Goibniu,Videnda,,,,,,
L-18,Golh,Videnda,,,,,,
L-18,Mooshie Cluster,Videnda,,,,,,
L-18,Obran Cluster,Videnda,,,,,,
L-18,Orko,Videnda,,,,,,
L-18,Sunaj,Videnda,,,,,,
L-18,Truwel,Videnda,,,,,,
L-18,Urber,Videnda,,,,,,
L-18,Velanaria,Videnda,,,,,,
L-18,Wretch of Tayron,Videnda,,,,,,
L-19,Tortali,Airam,,,,,,
L-20,Atravis,Atravis,,,,,,
L-19,Atterol,Atravis,,,,,,
L-19,Buruunin,Atravis,,,,,,
L-19,Carreras,Atravis,,,,,,
L-19,Dorlo,Atravis,,,,,,
L-19,Ghita,Atravis,,,,,,
L-19,Gon Tiek,Atravis,,,,,,
L-19,Gorbah,Atravis,,,,,,
L-19,Heriston,Atravis,,,,,,
L-19,Mhettghar,Atravis,,,,,,
L-19,Mustafar,Atravis,,,,,,
L-19,Ogoth Tiir,Atravis,,,,,,
L-19,Ponolapo,Atravis,,,,,,
L-19,Pursin,Atravis,,,,,,
L-19,Shumavar,Atravis,,,,,,
L-19,Siluria,Atravis,,,,,,
L-19,Suba,Atravis,,,,,,
L-19,Surd Nebula,Atravis,,,,,,
L-19,Tanis,Atravis,,,,,,
L-19,Tosste,Atravis,,,,,,
L-19,Uru,Atravis,,,,,,
L-19,Vale,Atravis,,,,,,
L-19,Vanan,Atravis,,,,,,
L-19,Vivonah,Atravis,,,,,,
L-19,Yugami,Atravis,,,,,,
L-19,ZXK-100346,Atravis,,,,,,
L-19,Jjannex,Jjannex,,,,,,
L-19,Rycep,Jjannex,,,,,,
L-19,Seezar's Planet,Jjannex,,,,,,
L-19,Aybaria,Steniplis,,,,,,
L-19,Dwor,Steniplis,,,,,,
L-19,Letaki,Steniplis,,,,,,
V-8,Malaga Cluster,Steniplis,,,,,,
L-19,Prexiar,Steniplis,,,,,,
L-19,Rikmania,Steniplis,,,,,,
L-19,Tarawa,Steniplis,,,,,,
L-20,Aiqin,Airam,,,,,,
L-20,Blair Cluster,Airam,,,,,,
L-20,Elliirad,Airam,,,,,,
L-20,Goff,Airam,,,,,,
L-20,Hinda,Airam,,,,,,
L-20,Klaatu,Airam,,,,,,
L-20,Mylok,Airam,,,,,,
L-20,Nocto,Airam,,,,,,
L-20,Nodgra,Airam,,,,,,
L-20,Ochotl,Airam,,,,,,
L-20,"Pangarees, The",Airam,,,,,,
L-20,Swellen,Airam,,,,,,
L-20,Ather,Atravis,,,,,,
L-20,Esyram,Atravis,,,,,,
L-20,Phosphura Belt Nebula,Atravis,,,,,,
L-20,Rutan,Atravis,,,,,,
L-20,Tempes,Atravis,,,,,,
L-20,Besberra,Cegul,,,,,,
L-20,Chundu,Cegul,,,,,,
L-20,Makthierse,Cegul,,,,,,
L-20,Trosh,Cegul,,,,,,
L-20,Vizcarra,Cegul,,,,,,
L-20,Winsit,Cegul,,,,,,
L-20,Dravin,Subterrel,,,,,,
L-20,Jalucaz,Subterrel,,,,,,
L-20,Kallidah,Subterrel,,,,,,
L-20,Orax,Subterrel,,,,,,
L-20,Subterrel,Subterrel,,,,,,
L-20,Trymant,Subterrel,,,,,,
L-21,Jahilid,,,,,,,
L-21,Koltine,,Galactic Empire,,,,,
L-21,Pral,,Galactic Empire,,,,,
L-21,Shiva,,,,,,,Mountains Deserts
M-1,Birukay (Gardaji),,,,,,,
M-1,Gardaji Rift (Gardaji),,,,,,,
M-2,Hettitite,Dalonbian,,,,,,
M-2,Ezaraa,Spinward,,,,,,
M-2,Felin,Spinward,,,,,,
M-2,Vadnay,Spinward,,,,,,
M-3,Aeos,Chopani,,,,,,
M-3,Antmuel,Chopani,,,,,,
M-3,Birgis,Dalonbian,,,,,,
M-3,Carajam,Dalonbian,,,,,,
M-3,Cole-Haddon,Dalonbian,,,,,,
M-3,Danzik,Dalonbian,,,,,,
M-3,Seline,Dalonbian,,,,,,
M-3,Tantiss Station,Dalonbian,,,,,,
M-3,Zeffo,Kanz,,,,,,
M-3,Puloorn,Spinward,,,,,,
M-4,Kaldar Trinary,Chopani,,,,,,
M-4,Ktath'atn,Chopani,,,,,,
M-4,Vernid,Kanz,,,,,,
M-4,Aq Vetina,Relgim,,,,,,
M-5,Agamar,Lahara,,,,,,
M-5,Arcana,Lahara,,,,,,
M-5,Begamor,Lahara,,,,,,
M-5,Chabosh,Lahara,,,,,,
M-5,Chrellis,Lahara,,,,,,
M-5,Gandolo,Lahara,,,,,,
M-5,Gondagali,Lahara,,,,,,
M-5,Hazzard,Lahara,,,,,,
M-5,Horn Station,Lahara,,,,,,
M-5,Horox,Lahara,,,,,,
M-5,Kebolar,Lahara,,,,,,
M-5,OR-Kappa-2722,Lahara,,,,,,
M-5,Oorn Tchis,Lahara,,,,,,
M-5,Aakaash,Oplovis,,,,,,
M-5,Akuria,Oplovis,,,,,,
M-5,Harrod's Planet,Oplovis,,,,,,
M-5,Oplovis,Oplovis,,,,,,
M-5,Sronk,Oplovis,,,,,,
M-5,Vosteltig,Oplovis,,,,,,
M-5,Yuvern,Oplovis,,,,,,
M-5,Cowl Crucible,Oricho,,,,,,
M-5,Gaddria,Oricho,,,,,,
M-5,Moraga,Oricho,,,,,,
M-5,Pas'sic,Oricho,,,,,,
M-6,Aldhani,Cademimu,,,,,,
M-6,Bazarre,Cademimu,,,,,,
M-6,Cademimu,Cademimu,,,,,,
M-6,Frezno,Cademimu,,,,,,
M-6,Hitaka,Cademimu,,,,,,
M-6,Oznek,Cademimu,,,,,,
M-6,Paarin Minor,Cademimu,,,,,,
M-6,Patch,Cademimu,,,,,,
M-6,Tsevuka,Cademimu,,,,,,
M-6,Wilpiet,Cademimu,,,,,,
M-6,Targarth,Corosi,,,,,,
